time/episodes,train/critic_loss,time/time_elapsed,train/n_updates,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
4,3.0550804138183594,31,124,7,56.25,-101.230102,225,0.0002,1.490918755531311,,
8,2.8756144046783447,38,189,7,36.25,-63.082134375,290,0.0002,1.5332781076431274,,
12,4.621170997619629,47,250,7,29.25,-49.00875208333333,351,0.0002,1.811450719833374,,
16,5.842937469482422,55,313,7,25.875,-41.81357625,414,0.0002,1.83713698387146,,
20,6.034562110900879,62,369,7,23.5,-36.69017435,470,0.0002,1.9737389087677002,,
24,5.6843719482421875,71,429,7,22.083333333333332,-36.07052675,530,0.0002,2.4726295471191406,,
28,4.729722499847412,91,581,7,24.357142857142858,-45.134473285714286,682,0.0002,3.253551483154297,,
32,5.034270286560059,98,639,7,23.125,-46.70426109375,740,0.0002,3.190767765045166,,
36,4.915152549743652,110,733,7,23.166666666666668,-44.23362311111111,834,0.0002,3.278069496154785,,
40,4.359447479248047,117,785,7,22.15,-43.525610875,886,0.0002,3.5864620208740234,,
44,4.792264938354492,128,889,7,22.5,-42.57347431818182,990,0.0002,4.076292037963867,,
48,5.527454376220703,137,960,7,22.104166666666668,-42.5328939375,1061,0.0002,4.506643295288086,,
52,5.64969539642334,150,1022,7,21.596153846153847,-42.360504923076924,1123,0.0002,5.436244010925293,,
56,6.332223892211914,158,1091,7,21.285714285714285,-40.64456558928571,1192,0.0002,5.476956844329834,,
60,4.98438024520874,166,1156,7,20.95,-38.1630698,1257,0.0002,4.815242767333984,,
64,5.353076934814453,173,1213,7,20.53125,-36.798927515624996,1314,0.0002,5.026857852935791,,
68,4.532298564910889,180,1272,7,20.191176470588236,-35.36346530882353,1373,0.0002,5.2704548835754395,,
72,4.492169380187988,188,1332,7,19.90277777777778,-34.14071394444444,1433,0.0002,5.466921806335449,,
76,4.259220600128174,202,1406,7,19.82894736842105,-33.05330688157894,1507,0.0002,5.500210762023926,,
80,5.14504337310791,209,1464,7,19.5625,-31.823222449999996,1565,0.0002,5.402691841125488,,
84,5.06728458404541,219,1547,7,19.61904761904762,-30.81961466666666,1648,0.0002,5.905066967010498,,
88,4.853630065917969,229,1638,7,19.761363636363637,-29.823801897727268,1739,0.0002,4.809704303741455,,
92,3.430527925491333,243,1785,7,20.5,-28.91873523913043,1886,0.0002,4.210967063903809,,
96,4.200685501098633,260,1953,7,21.395833333333332,-28.935953385416664,2054,0.0002,4.585609436035156,,
100,3.8276729583740234,275,2044,7,21.45,-28.117308259999994,2145,0.0002,4.288337707519531,,
104,4.606308460235596,289,2159,7,20.35,-25.54156379,2260,0.0002,4.47226619720459,,
108,3.780221462249756,301,2271,7,20.82,-25.61104293,2372,0.0002,4.2317352294921875,,
112,3.6263227462768555,315,2398,7,21.48,-26.273733550000003,2499,0.0002,4.075216770172119,,
116,4.407923698425293,328,2507,7,21.94,-26.56767873,2608,0.0002,3.998155117034912,,
120,4.606462478637695,340,2615,7,22.46,-26.64296579,2716,0.0002,3.4703009128570557,,
124,4.633543491363525,352,2716,7,22.87,-26.668079610000003,2817,0.0002,3.7750091552734375,,
128,4.392482280731201,368,2800,7,22.19,-24.339601919999996,2901,0.0002,3.5166175365448,,
132,5.57978630065918,382,2927,7,22.88,-23.981160240000005,3028,0.0002,3.750319480895996,,
136,4.934382438659668,398,3059,7,23.26,-24.262651859999995,3160,0.0002,3.5567212104797363,,
140,6.127143383026123,408,3148,7,23.63,-23.474109789999996,3249,0.0002,3.8610458374023438,,
144,5.676226615905762,419,3228,7,23.39,-23.030870540000002,3329,0.0002,3.19195556640625,,
148,5.042603492736816,440,3404,7,24.44,-22.124339699999997,3505,0.0002,3.946082592010498,,
152,5.806960105895996,456,3494,7,24.72,-21.148211399999994,3595,0.0002,4.255875110626221,,
156,5.1258225440979,468,3579,7,24.88,-21.58664949,3680,0.0002,4.446613788604736,,
160,4.376088619232178,478,3660,7,25.04,-22.46546009,3761,0.0002,3.796192169189453,,
164,5.183561325073242,502,3869,7,26.56,-23.28039635,3970,0.0002,3.4360227584838867,,
168,5.666356563568115,518,3991,7,27.19,-25.000269040000003,4092,0.0002,3.1355690956115723,,
172,4.723556041717529,526,4052,7,27.2,-26.067342550000003,4153,0.0002,3.454047679901123,,
176,6.441219806671143,543,4158,7,27.52,-26.11195752,4259,0.0002,3.1517722606658936,,
180,4.98193359375,557,4289,7,28.25,-26.187773959999994,4390,0.0002,3.483171224594116,,
184,6.103066921234131,569,4403,7,28.56,-26.18899583,4504,0.0002,3.0619688034057617,,
188,6.733874797821045,577,4471,7,28.33,-25.97035656,4572,0.0002,3.1063218116760254,,
192,6.40840482711792,590,4598,7,28.13,-25.914699739999993,4699,0.0002,2.9816782474517822,,
196,5.749858856201172,601,4704,7,27.51,-25.233228009999998,4805,0.0002,2.9123144149780273,,
200,8.13756275177002,621,4842,7,27.98,-25.2944371,4943,0.0002,2.8736534118652344,,
204,5.743417263031006,637,4972,7,28.13,-23.10472871,5073,0.0002,2.312265634536743,,
208,5.783138275146484,647,5059,7,27.88,-22.299807969999996,5160,0.0002,2.260127067565918,,
212,6.6394171714782715,662,5203,8,28.05,-21.01036094,5304,0.0002,1.8469492197036743,,
216,5.396482944488525,687,5425,8,29.18,-19.540530420000003,5526,0.0002,1.8259127140045166,,
220,5.915424346923828,739,5940,8,33.25,-20.1581838,6041,0.0002,1.3812475204467773,,
224,8.032666206359863,745,5991,8,32.75,-19.119160599999997,6092,0.0002,1.0653231143951416,,
228,6.5557966232299805,842,7049,8,42.49,-30.898183520000003,7150,0.0002,-0.01585039496421814,,
232,7.036900520324707,934,8139,8,52.12,-39.885075029999996,8240,0.0002,-0.2779177725315094,,
236,5.991481781005859,1182,11150,9,80.91,-40.26877393,11251,0.0002,-4.870381832122803,,
240,7.332482814788818,1518,15150,10,120.02,-45.53908429000001,15251,0.0002,-8.485671997070312,,
244,4.985556125640869,1690,17316,10,140.88,-52.16292789,17417,0.0002,-6.787025451660156,,
248,5.7505598068237305,1810,18900,10,154.96,-52.658702399999996,19001,0.0002,-6.811272144317627,,
252,5.969015598297119,1900,19826,10,163.32,-58.667124130000005,19927,0.0002,-6.512514114379883,,
256,5.086872577667236,1917,19980,10,164.01,-58.33180987,20081,0.0002,-6.277956962585449,,
260,4.331028938293457,2022,20981,10,173.21,-53.09884902000001,21082,0.0002,-7.127228736877441,,
264,6.256830215454102,2105,21882,10,180.13,-56.39988494,21983,0.0002,-7.77816104888916,,
268,4.715217113494873,2173,22658,10,186.67,-56.05351163999999,22759,0.0002,-7.0957746505737305,,
272,5.113234996795654,2216,23117,10,190.65,-50.76164772,23218,0.0002,-7.484199523925781,,
276,5.928374290466309,2328,24148,10,199.9,-42.35710597,24249,0.0002,-7.676395416259766,,
280,4.372259140014648,2408,25022,10,207.33,-32.96441621,25123,0.0002,-7.965036392211914,,
284,6.581052780151367,2515,26183,10,217.8,-40.25249749,26284,0.0002,-7.77453088760376,,
288,5.4300079345703125,2647,27626,10,231.55,-28.433291100000005,27727,0.0002,-9.127388000488281,,
292,8.724145889282227,2729,28411,10,238.13,-25.902553050000005,28512,0.0002,-9.599271774291992,,
296,6.421160697937012,2742,28535,10,238.31,-25.386234880000003,28636,0.0002,-9.202997207641602,,
300,5.540132522583008,2773,28816,10,239.74,-22.763042040000002,28917,0.0002,-8.029155731201172,,
304,5.266232490539551,2831,29412,10,244.4,-24.14732249,29513,0.0002,-9.1143798828125,,
308,6.943851470947266,2872,29815,10,247.56,-22.333845380000003,29916,0.0002,-9.295490264892578,,
312,5.4174699783325195,3018,31492,10,262.89,-17.92383209000001,31593,0.0002,-9.771961212158203,,
316,7.952709197998047,3088,32320,10,268.95,-18.74871146000001,32421,0.0002,-9.53795051574707,,
320,4.871502876281738,3103,32466,10,265.26,-17.601588410000005,32567,0.0002,-8.249835014343262,,
324,5.597014427185059,3144,32899,10,269.08,-24.44589879,33000,0.0002,-8.387462615966797,,
328,5.433453559875488,3222,33645,10,265.96,-14.028730550000002,33746,0.0002,-9.897921562194824,,
332,4.506953239440918,3326,34709,10,265.7,2.398168429999998,34810,0.0002,-8.395818710327148,,
336,4.894136428833008,3374,35246,10,240.96,2.792405740000001,35347,0.0002,-9.365281105041504,,
340,5.016105651855469,3448,35941,10,207.91,3.93413998,36042,0.0002,-9.645156860351562,,
344,6.834210395812988,3474,36188,10,188.72,10.002390839999997,36289,0.0002,-10.118043899536133,,
348,6.894232749938965,3529,36748,10,178.48,10.171714009999999,36849,0.0002,-10.157057762145996,,
352,6.965961933135986,3633,37646,10,178.2,19.30030283,37747,0.0002,-9.675313949584961,,
356,4.85887336730957,3793,39172,10,191.92,28.253463129999997,39273,0.0002,-10.10368537902832,,
360,5.888096809387207,3857,39815,10,188.34,21.537061859999994,39916,0.0002,-10.446281433105469,,
364,6.528548717498779,3946,40628,10,187.46,20.11239741,40729,0.0002,-11.26531982421875,,
368,5.597794532775879,4041,41590,10,189.32,16.5120586,41691,0.0002,-9.868568420410156,,
372,5.270811557769775,4144,42678,10,195.61,18.286750529999996,42779,0.0002,-11.430591583251953,,
376,6.239885330200195,4288,44143,10,199.95,9.146020720000001,44244,0.0002,-10.620418548583984,,
380,5.095364093780518,4374,45106,10,200.84,1.5474984300000032,45207,0.0002,-11.73513412475586,,
384,8.700849533081055,4390,45243,10,190.6,8.369992490000001,45344,0.0002,-11.311606407165527,,
388,7.132123947143555,4471,46284,10,186.58,-5.307677400000001,46385,0.0002,-9.706174850463867,,
392,5.709036350250244,4616,47779,10,193.68,-3.9084632600000027,47880,0.0002,-11.24571704864502,,
396,6.879790306091309,4643,48076,10,195.41,-6.4076296200000025,48177,0.0002,-9.890634536743164,,
400,4.045895576477051,4689,48557,10,197.41,-10.68671683,48658,0.0002,-10.370892524719238,,
404,4.179103374481201,4722,48891,10,194.79,-9.33049673,48992,0.0002,-8.76037311553955,,
408,5.589582443237305,4787,49542,10,197.27,-7.595716229999999,49643,0.0002,-10.557575225830078,,
412,6.218822479248047,4885,50590,10,190.98,-6.95069613,50691,0.0002,-10.196144104003906,,
416,4.6233015060424805,4985,51701,10,193.81,-6.6695386999999995,51802,0.0002,-10.687947273254395,,
420,7.070535659790039,5046,52359,10,198.93,-6.393195539999999,52460,0.0002,-8.714776039123535,,
424,4.073415756225586,5181,53901,10,210.02,22.57720597,54002,0.0002,-10.615795135498047,,
428,4.304320335388184,5275,54915,10,212.7,29.080807479999994,55016,0.0002,-10.707328796386719,,
432,6.3285417556762695,5312,55359,10,206.5,21.776738359999996,55460,0.0002,-11.190069198608398,,
436,4.483769416809082,5408,56466,10,212.2,32.089796969999995,56567,0.0002,-10.052143096923828,,
440,4.741041660308838,5461,57172,10,212.31,35.895131799999994,57273,0.0002,-10.508699417114258,,
444,4.689688205718994,5489,57448,10,212.6,36.97004631,57549,0.0002,-9.718206405639648,,
448,5.194157600402832,5587,58553,10,218.05,47.35185425,58654,0.0002,-10.89493179321289,,
452,5.571537971496582,5614,58777,10,211.31,43.322835370000014,58878,0.0002,-11.10747241973877,,
456,4.149096488952637,5698,59611,10,204.39,40.133648599999994,59712,0.0002,-10.831016540527344,,
460,5.294763088226318,5920,61744,10,219.29,58.04320705999999,61845,0.0002,-9.576987266540527,,
464,5.41903829574585,5995,62537,10,219.09,74.48404294999999,62638,0.0002,-11.444669723510742,,
468,6.172733783721924,6121,63804,10,222.14,87.63891480999999,63905,0.0002,-12.197893142700195,,
472,4.74741268157959,6243,65136,10,224.58,98.97550129999999,65237,0.0002,-10.889351844787598,,
476,3.375760316848755,6316,65846,10,217.03,109.36639559999999,65947,0.0002,-11.270418167114258,,
480,5.720844268798828,6386,66474,10,213.68,113.48754719,66575,0.0002,-12.119492530822754,,
484,4.04066276550293,6568,68469,10,232.26,127.13378363000001,68570,0.0002,-10.022675514221191,,
488,4.516152858734131,6622,69062,10,227.78,137.53687414000004,69163,0.0002,-12.193410873413086,,
492,4.440747261047363,6672,69487,10,217.08,140.78831916,69588,0.0002,-13.226898193359375,,
496,4.953004837036133,6788,70842,10,227.66,150.62744860000004,70943,0.0002,-13.0005521774292,,
500,5.450667381286621,7054,73264,10,247.07,177.13812228999998,73365,0.0002,-11.295289039611816,,
504,3.9780025482177734,7082,73520,10,246.29,179.80855545000003,73621,0.0002,-12.55912971496582,,
508,6.478091239929199,7175,74525,10,249.83,189.45522082,74626,0.0002,-12.993692398071289,,
