train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps,train/learning_rate,rollout/ep_len_mean,time/episodes,eval/mean_reward,eval/mean_ep_length
2.5201480388641357,-137.63044150000002,6.649446964263916,21,203,102,9,0.00035,50.75,4,,
2.5775935649871826,-85.875025375,5.093515872955322,28,264,163,9,0.00035,33.0,8,,
2.8632259368896484,-70.62705666666668,4.702092170715332,36,343,242,9,0.00035,28.583333333333332,12,,
2.6318531036376953,-55.759736812499995,4.99369478225708,46,462,361,10,0.00035,28.875,16,,
3.352745294570923,-47.26878505,6.271258354187012,57,588,487,10,0.00035,29.4,20,,
2.3061721324920654,-42.86222870833333,6.330209732055664,69,712,611,10,0.00035,29.666666666666668,24,,
1.37195885181427,-40.09533832142857,7.979931831359863,82,805,704,9,0.00035,28.75,28,,
2.7521677017211914,-36.464587249999994,6.608419418334961,92,925,824,9,0.00035,28.90625,32,,
1.8913291692733765,-37.18510502777777,9.2788667678833,100,1007,906,10,0.00035,27.97222222222222,36,,
2.0007662773132324,-37.05747195,8.34870719909668,108,1085,984,10,0.00035,27.125,40,,
2.3161420822143555,-36.40937877272727,8.864629745483398,116,1180,1079,10,0.00035,26.818181818181817,44,,
1.3086826801300049,-37.43353039583333,9.199838638305664,126,1286,1185,10,0.00035,26.791666666666668,48,,
1.6972684860229492,-34.12930882692307,8.206019401550293,146,1450,1349,9,0.00035,27.884615384615383,52,,
1.8970694541931152,-33.23052026785714,9.723054885864258,154,1520,1419,9,0.00035,27.142857142857142,56,,
1.6938741207122803,-33.354917066666665,10.410093307495117,164,1621,1520,9,0.00035,27.016666666666666,60,,
1.666929006576538,-33.003826578125,11.992753982543945,175,1729,1628,9,0.00035,27.015625,64,,
2.312297821044922,-32.20277455882353,12.981630325317383,184,1823,1722,9,0.00035,26.808823529411764,68,,
0.24705834686756134,-34.70336106944444,11.090835571289062,194,1925,1824,9,0.00035,26.73611111111111,72,,
0.6021586060523987,-34.99014947368421,13.568158149719238,209,2036,1935,9,0.00035,26.789473684210527,76,,
-0.18864011764526367,-34.065907162500004,11.294203758239746,226,2224,2123,9,0.00035,27.8,80,,
1.1379823684692383,-37.63159825,12.228845596313477,244,2441,2340,9,0.00035,29.05952380952381,84,,
-0.6499779224395752,-40.86737278409091,11.487252235412598,261,2649,2548,10,0.00035,30.102272727272727,88,,
-0.8921500444412231,-42.086634260869566,12.849321365356445,269,2728,2627,10,0.00035,29.652173913043477,92,,
-0.39592453837394714,-43.69680682291666,12.045315742492676,308,3234,3133,10,0.00035,33.6875,96,,
-2.113616466522217,-41.79961526,12.53132152557373,335,3481,3380,10,0.00035,34.81,100,,
-1.8848235607147217,-46.57121238,8.986553192138672,368,3912,3811,10,0.00035,37.09,104,,
-3.1991333961486816,-54.380774839999994,11.05003833770752,394,4252,4151,10,0.00035,39.88,108,,
-4.6348114013671875,-52.09296770000001,8.520633697509766,409,4441,4340,10,0.00035,40.98,112,,
-2.737643241882324,-52.49381719000001,12.017477989196777,418,4531,4430,10,0.00035,40.69,116,,
-3.79074764251709,-52.32797205,11.40225887298584,429,4661,4560,10,0.00035,40.73,120,,
-4.347746849060059,-51.540593070000014,8.08472728729248,442,4815,4714,10,0.00035,41.03,124,,
-4.7264533042907715,-59.42568770000002,9.19106674194336,474,5132,5031,10,0.00035,43.27,128,,
-5.404716491699219,-57.68730956999999,9.910614013671875,498,5444,5343,10,0.00035,45.19,132,,
-4.257211685180664,-56.11750219,8.725347518920898,512,5617,5516,10,0.00035,46.1,136,,
-5.284920692443848,-54.952113759999996,10.075575828552246,522,5733,5632,10,0.00035,46.48,140,,
-5.732682228088379,-52.49326713000001,14.64466667175293,558,6207,6106,11,0.00035,50.27,144,,
-7.499077320098877,-53.190898879999985,13.008895874023438,581,6472,6371,11,0.00035,51.86,148,,
-7.659991264343262,-59.15927311999999,7.652726650238037,622,6936,6835,11,0.00035,54.86,152,,
