rollout/ep_rew_mean,train/actor_loss,train/n_updates,time/episodes,train/learning_rate,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,eval/mean_ep_length,eval/mean_reward
-37.403981,0.6994816064834595,84,4,0.0002,22,8,185,46.25,2.439326047897339,,
-25.941199750000003,0.8400660157203674,155,8,0.0002,30,8,256,32.0,4.050439834594727,,
-28.77975041666667,1.3393888473510742,228,12,0.0002,38,8,329,27.416666666666668,5.411659240722656,,
-25.390165812500005,1.4876326322555542,287,16,0.0002,45,8,388,24.25,4.585508823394775,,
-47.34655445,2.3249940872192383,433,20,0.0002,60,8,534,26.7,3.6729962825775146,,
-47.030633791666666,3.38954496383667,512,24,0.0002,68,8,613,25.541666666666668,3.7403173446655273,,
-45.709657821428564,4.179679870605469,571,28,0.0002,109,6,672,24.0,5.244626998901367,,
-45.1572571875,4.892754554748535,643,32,0.0002,118,6,744,23.25,5.366204261779785,,
-43.60008108333333,5.270464897155762,700,36,0.0002,124,6,801,22.25,5.369227886199951,,
-44.153616774999996,5.19998025894165,775,40,0.0002,133,6,876,21.9,4.7095794677734375,,
-42.90242936363636,5.298428535461426,838,44,0.0002,142,6,939,21.34090909090909,4.847203254699707,,
-44.09263470833333,5.142550468444824,897,48,0.0002,149,6,998,20.791666666666668,5.559930801391602,,
-42.39384771153846,4.981694221496582,946,52,0.0002,162,6,1047,20.134615384615383,5.303445816040039,,
-42.24061098214286,6.34818696975708,1011,56,0.0002,170,6,1112,19.857142857142858,5.885693073272705,,
-41.35398381666667,6.004397869110107,1060,60,0.0002,176,6,1161,19.35,6.087291717529297,,
-40.928886203125,6.787425994873047,1108,64,0.0002,183,6,1209,18.890625,6.539692401885986,,
-40.9688005,7.345438480377197,1167,68,0.0002,190,6,1268,18.647058823529413,5.961915016174316,,
-40.788203430555555,6.881917953491211,1221,72,0.0002,197,6,1322,18.36111111111111,5.732367515563965,,
-41.21404652631579,6.177491188049316,1276,76,0.0002,209,6,1377,18.11842105263158,6.6220879554748535,,
-39.62429808750001,7.380492687225342,1339,80,0.0002,216,6,1440,18.0,5.557055950164795,,
-38.823556202380956,7.847609043121338,1393,84,0.0002,223,6,1494,17.785714285714285,7.102519512176514,,
-37.597598909090905,8.030757904052734,1448,88,0.0002,230,6,1549,17.602272727272727,5.886842250823975,,
-36.70972011956521,7.745938301086426,1506,92,0.0002,237,6,1607,17.467391304347824,6.743607521057129,,
-35.624223625,7.742920875549316,1568,96,0.0002,245,6,1669,17.385416666666668,5.786232948303223,,
-35.002939989999994,9.352741241455078,1623,100,0.0002,257,6,1724,17.24,8.19314956665039,,
-34.33559041,8.680231094360352,1672,104,0.0002,264,6,1773,15.88,7.961179256439209,,
-34.53261833,8.5722017288208,1743,108,0.0002,272,6,1844,15.88,5.195194244384766,,
-34.06874032,9.612113952636719,1792,112,0.0002,279,6,1893,15.64,51.6882209777832,,
-34.59192833,9.181343078613281,1864,116,0.0002,287,6,1965,15.77,12.80097770690918,,
-30.081778630000002,9.71708869934082,1922,120,0.0002,294,6,2023,14.89,6.7517290115356445,,
-29.084910439999998,9.941033363342285,1977,124,0.0002,301,6,2078,14.65,7.6992387771606445,,
-28.296819269999997,9.643089294433594,2048,128,0.0002,315,6,2149,14.77,7.989222049713135,,
-27.341064879999998,10.34745979309082,2091,132,0.0002,320,6,2192,14.48,6.150400638580322,,
-27.094700009999993,8.672910690307617,2159,136,0.0002,328,6,2260,14.59,6.142555236816406,,
-25.972378030000005,11.01020622253418,2208,140,0.0002,334,6,2309,14.33,8.02407455444336,,
-26.03018268,9.644634246826172,2258,144,0.0002,340,6,2359,14.2,7.892561435699463,,
-24.59995245,10.043790817260742,2303,148,0.0002,346,6,2404,14.06,7.422444820404053,,
-24.361973640000002,10.5194673538208,2363,152,0.0002,359,6,2464,14.17,8.79912281036377,,
-23.17315157,9.864578247070312,2416,156,0.0002,365,6,2517,14.05,6.589585304260254,,
-22.718728699999996,10.3397216796875,2468,160,0.0002,372,6,2569,14.08,8.137016296386719,,
-22.213188369999997,10.710057258605957,2524,164,0.0002,378,6,2625,14.16,8.44249153137207,,
-21.593898170000003,10.400882720947266,2590,168,0.0002,385,6,2691,14.23,8.149276733398438,,
-21.070112629999997,10.652421951293945,2647,172,0.0002,391,7,2748,14.26,6.8334059715271,,
-19.538879029999997,11.419367790222168,2721,176,0.0002,405,6,2822,14.45,8.924077987670898,,
-21.241221690000003,10.10339069366455,2813,180,0.0002,413,7,2914,14.74,7.534525394439697,,
-20.8045075,11.580780982971191,2883,184,0.0002,421,7,2984,14.9,9.792302131652832,,
-20.86201277,10.558968544006348,2929,188,0.0002,426,7,3030,14.81,6.841713905334473,,
-21.104287919999997,11.83671760559082,2993,192,0.0002,434,7,3094,14.87,6.800887584686279,,
-21.10398947,11.097031593322754,3048,196,0.0002,440,7,3149,14.8,6.255182266235352,,
-20.841260549999998,11.613475799560547,3102,200,0.0002,452,7,3203,14.79,6.599296569824219,,
-21.500897260000002,10.179952621459961,3158,204,0.0002,459,7,3259,14.86,5.422614574432373,,
-22.267823510000003,9.996479034423828,3200,208,0.0002,466,7,3301,14.57,7.848391532897949,,
-23.45197922,11.875503540039062,3259,212,0.0002,473,7,3360,14.67,8.364802360534668,,
-24.097400030000003,11.790788650512695,3307,216,0.0002,480,7,3408,14.43,10.057524681091309,,
-24.533558849999995,10.469023704528809,3363,220,0.0002,487,7,3464,14.41,8.32827377319336,,
-24.62557237,12.176819801330566,3417,224,0.0002,494,7,3518,14.4,6.793013095855713,,
-24.77007874,10.818666458129883,3484,228,0.0002,509,7,3585,14.36,5.983870506286621,,
-24.968575539999996,11.268596649169922,3546,232,0.0002,517,7,3647,14.55,7.2144904136657715,,
-25.192553160000003,11.413558959960938,3605,236,0.0002,524,7,3706,14.46,7.576508522033691,,
-24.98001455,11.454652786254883,3656,240,0.0002,532,7,3757,14.48,8.863372802734375,,
-24.37526746,11.956108093261719,3716,244,0.0002,540,7,3817,14.58,6.068345546722412,,
-24.69143538,12.682462692260742,3774,248,0.0002,547,7,3875,14.71,8.038362503051758,,
-25.89915819,11.202716827392578,3857,252,0.0002,561,7,3958,14.94,9.49868392944336,,
-27.02146303,12.40251350402832,3947,256,0.0002,571,7,4048,15.31,7.42585563659668,,
-27.176049039999995,12.007777214050293,4014,260,0.0002,578,7,4115,15.46,6.876608848571777,,
-27.19083546,11.832185745239258,4066,264,0.0002,584,7,4167,15.42,7.106872081756592,,
-26.632307410000003,11.704448699951172,4117,268,0.0002,591,7,4218,15.27,8.934467315673828,,
-26.03553123,11.857349395751953,4161,272,0.0002,596,7,4262,15.14,8.509110450744629,,
-26.47499743,12.696443557739258,4217,276,0.0002,609,7,4318,14.96,10.284448623657227,,
-25.12537149,11.594889640808105,4274,280,0.0002,615,7,4375,14.61,9.49453067779541,,
-25.338989039999998,12.322938919067383,4334,284,0.0002,622,7,4435,14.51,8.306865692138672,,
-25.5790043,11.570216178894043,4386,288,0.0002,629,7,4487,14.57,8.227523803710938,,
-25.192051060000004,10.688484191894531,4444,292,0.0002,636,7,4545,14.51,10.541868209838867,,
-26.152186030000003,11.467041969299316,4506,296,0.0002,643,7,4607,14.58,8.030569076538086,,
-26.333591169999995,11.404802322387695,4570,300,0.0002,655,7,4671,14.68,5.759095191955566,,
-26.493555239999996,11.805147171020508,4625,304,0.0002,662,7,4726,14.67,7.350378036499023,,
-26.45190939,10.965572357177734,4675,308,0.0002,670,7,4776,14.75,6.863683700561523,,
-25.337257019999996,13.796854019165039,4737,312,0.0002,678,7,4838,14.78,7.517533779144287,,
-26.38565328,12.233295440673828,4804,316,0.0002,686,7,4905,14.97,10.219746589660645,,
-26.553911120000006,11.461113929748535,4864,320,0.0002,693,7,4965,15.01,9.197696685791016,,
-27.354655010000005,12.582502365112305,4914,324,0.0002,699,7,5015,14.97,11.493547439575195,,
-27.635850519999995,11.797483444213867,4965,328,0.0002,712,7,5066,14.81,14.823259353637695,,
-28.194882690000004,12.163578987121582,5015,332,0.0002,718,7,5116,14.69,8.965975761413574,,
-27.803811590000006,12.748184204101562,5064,336,0.0002,724,7,5165,14.59,9.070629119873047,,
-28.082855270000003,11.11903190612793,5127,340,0.0002,733,7,5228,14.71,6.995266914367676,,
-28.177990360000003,12.585982322692871,5213,344,0.0002,743,7,5314,14.97,10.623334884643555,,
-27.73458628,12.216745376586914,5272,348,0.0002,750,7,5373,14.98,9.519067764282227,,
-26.70696285,11.308279037475586,5317,352,0.0002,763,7,5418,14.6,9.1605224609375,,
-25.733841390000002,11.823219299316406,5371,356,0.0002,771,7,5472,14.24,8.115205764770508,,
-25.742920109999996,10.461053848266602,5436,360,0.0002,779,7,5537,14.22,6.756346225738525,,
-25.415573100000003,11.194053649902344,5495,364,0.0002,786,7,5596,14.29,8.447843551635742,,
-25.402368780000003,10.604862213134766,5547,368,0.0002,792,7,5648,14.3,6.287489891052246,,
-25.47932699,11.90693473815918,5605,372,0.0002,800,7,5706,14.44,8.497031211853027,,
-25.298153920000004,11.30082893371582,5652,376,0.0002,812,7,5753,14.35,8.502644538879395,,
-26.056854420000004,11.31722640991211,5721,380,0.0002,820,7,5822,14.47,5.24398136138916,,
-26.984205750000005,11.8153076171875,5780,384,0.0002,828,7,5881,14.46,5.023284435272217,,
-29.83338496,11.38701057434082,5867,388,0.0002,838,7,5968,14.81,6.549868106842041,,
-30.923651460000002,11.035995483398438,5915,392,0.0002,844,7,6016,14.71,9.440725326538086,,
-31.068848020000004,12.669665336608887,5965,396,0.0002,851,7,6066,14.59,7.888756275177002,,
-31.29601238,12.151298522949219,6014,400,0.0002,863,7,6115,14.44,8.241375923156738,,
-31.607240739999998,11.506468772888184,6080,404,0.0002,871,7,6181,14.55,7.293924331665039,,
-30.657996379999997,12.0368013381958,6146,408,0.0002,878,7,6247,14.71,7.252009868621826,,
-30.614340279999997,10.980259895324707,6209,412,0.0002,886,7,6310,14.72,8.92965030670166,,
-29.049426559999993,12.183324813842773,6265,416,0.0002,893,7,6366,14.61,8.389537811279297,,
-28.448786060000003,11.611122131347656,6330,420,0.0002,901,7,6431,14.66,6.40290641784668,,
-27.334953949999996,11.601522445678711,6408,424,0.0002,910,7,6509,14.94,7.135894775390625,,
-27.048424639999993,11.689557075500488,6473,428,0.0002,924,7,6574,15.08,9.632662773132324,,
-26.375783330000004,12.086881637573242,6531,432,0.0002,932,7,6632,15.16,6.459085464477539,,
-26.571789199999998,11.126106262207031,6593,436,0.0002,940,7,6694,15.29,6.552238464355469,,
-26.1384879,11.391355514526367,6644,440,0.0002,947,7,6745,15.17,6.464256286621094,,
-26.44998615,12.037388801574707,6699,444,0.0002,954,7,6800,14.86,9.563273429870605,,
-26.673054240000006,11.194226264953613,6744,448,0.0002,961,7,6845,14.72,7.849846839904785,,
-26.876581840000004,11.420328140258789,6803,452,0.0002,975,7,6904,14.86,8.970237731933594,,
-28.404996030000003,10.904389381408691,6901,456,0.0002,986,7,7002,15.3,6.276268005371094,,
-27.95496113,11.411179542541504,6954,460,0.0002,994,7,7055,15.18,6.547610282897949,,
-28.389498090000004,10.540307998657227,7027,464,0.0002,1002,7,7128,15.32,5.326238632202148,,
-28.937624850000002,11.068633079528809,7080,468,0.0002,1009,7,7181,15.33,8.296409606933594,,
-29.125838619999996,11.991388320922852,7132,472,0.0002,1016,7,7233,15.27,8.040184020996094,,
-29.761496870000002,11.65440559387207,7194,476,0.0002,1028,7,7295,15.42,9.351822853088379,,
-29.20017711,11.451634407043457,7259,480,0.0002,1036,7,7360,15.38,7.414549827575684,,
-28.51945838,11.884370803833008,7315,484,0.0002,1043,7,7416,15.35,7.581437110900879,,
-25.805775339999997,10.141731262207031,7378,488,0.0002,1051,7,7479,15.11,7.084403991699219,,
-24.983082200000002,11.273612976074219,7438,492,0.0002,1059,7,7539,15.23,10.846294403076172,,
-24.08201114,11.19101333618164,7482,496,0.0002,1065,7,7583,15.17,11.473739624023438,,
-23.93759268,10.898699760437012,7534,500,0.0002,1078,7,7635,15.2,8.553306579589844,,
-23.523949199999997,11.894630432128906,7586,504,0.0002,1085,7,7687,15.06,7.328542232513428,,
-24.627944190000004,11.234952926635742,7633,508,0.0002,1090,7,7734,14.87,8.38652229309082,,
-25.224942050000003,10.610857009887695,7683,512,0.0002,1097,7,7784,14.74,7.860317230224609,,
-25.195185020000004,11.58114242553711,7747,516,0.0002,1106,7,7848,14.82,8.828819274902344,,
-27.616611289999994,11.064777374267578,7860,520,0.0002,1119,7,7961,15.3,8.10598373413086,,
-28.427996769999996,11.089092254638672,7910,524,0.0002,1126,7,8011,15.02,7.021200180053711,,
-28.29971597,11.253653526306152,7957,528,0.0002,1138,7,8058,14.84,6.322703838348389,,
-28.153105689999997,10.900164604187012,8027,532,0.0002,1147,7,8128,14.96,6.622689247131348,,
-28.0415325,10.525619506835938,8079,536,0.0002,1154,7,8180,14.86,7.944288730621338,,
-28.543348849999997,11.128539085388184,8135,540,0.0002,1161,7,8236,14.91,11.829605102539062,,
-28.564397089999993,11.517638206481934,8190,544,0.0002,1168,7,8291,14.91,6.447759628295898,,
-28.15361126,11.969017028808594,8239,548,0.0002,1174,7,8340,14.95,6.657888412475586,,
-28.062728710000002,11.044604301452637,8296,552,0.0002,1188,7,8397,14.93,6.563192844390869,,
-27.458693240000002,10.218144416809082,8350,556,0.0002,1194,7,8451,14.49,9.397661209106445,,
-28.81231847,11.75688362121582,8410,560,0.0002,1203,7,8511,14.56,6.639702320098877,,
-28.822393710000007,9.977304458618164,8457,564,0.0002,1209,7,8558,14.3,8.979166030883789,,
-28.4225088,11.792112350463867,8507,568,0.0002,1216,7,8608,14.27,5.871045112609863,,
-28.98220363,10.589768409729004,8565,572,0.0002,1222,7,8666,14.33,9.92926025390625,,
-28.55441357,11.05953598022461,8613,576,0.0002,1233,7,8714,14.19,14.342573165893555,,
