rollout/ep_len_mean,train/actor_loss,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/fps,time/episodes,train/critic_loss,eval/mean_reward,eval/mean_ep_length
64.0,3.0091774463653564,155,256,-223.15011775,33,0.0003,7,4,4.104997158050537,,
41.125,3.5308895111083984,228,329,-124.55724699999999,42,0.0003,7,8,4.142100811004639,,
33.666666666666664,3.7367920875549316,303,404,-93.24261608333332,50,0.0003,7,12,3.6789932250976562,,
29.4375,3.552086353302002,370,471,-74.82864175,58,0.0003,8,16,5.235001087188721,,
26.35,3.5378293991088867,426,527,-61.05998185000001,65,0.0003,8,20,4.875186443328857,,
24.208333333333332,2.619793176651001,480,581,-52.990691416666664,72,0.0003,8,24,4.7265944480896,,
22.571428571428573,3.4554014205932617,531,632,-49.22000610714285,85,0.0003,7,28,3.841918468475342,,
21.4375,3.2853336334228516,585,686,-48.2154644375,92,0.0003,7,32,4.01736307144165,,
20.583333333333332,3.825620651245117,640,741,-46.97552711111112,100,0.0003,7,36,4.910918235778809,,
20.2,4.212423324584961,707,808,-45.637278425,109,0.0003,7,40,4.386659622192383,,
19.977272727272727,4.011672496795654,778,879,-44.53723277272727,118,0.0003,7,44,4.485906600952148,,
19.645833333333332,5.582120418548584,842,943,-46.2013114375,127,0.0003,7,48,5.036832809448242,,
19.153846153846153,5.289644241333008,895,996,-44.956764346153854,141,0.0003,7,52,4.815384864807129,,
18.803571428571427,5.015158653259277,952,1053,-44.33851546428571,149,0.0003,7,56,6.194543838500977,,
18.383333333333333,5.312428951263428,1002,1103,-43.22177586666667,156,0.0003,7,60,5.082376480102539,,
17.96875,5.530930519104004,1049,1150,-42.71876728125,163,0.0003,7,64,5.400012016296387,,
17.794117647058822,6.407025337219238,1109,1210,-42.556107911764705,172,0.0003,7,68,5.323910713195801,,
17.555555555555557,6.374624252319336,1163,1264,-42.35397112500001,179,0.0003,7,72,5.106687545776367,,
17.460526315789473,7.703590393066406,1226,1327,-42.99157171052632,193,0.0003,6,76,5.4902024269104,,
17.4375,7.859318256378174,1294,1395,-42.1497417625,201,0.0003,6,80,5.082146644592285,,
17.25,7.5801005363464355,1348,1449,-40.79855522619048,208,0.0003,6,84,5.871559143066406,,
17.113636363636363,8.16672420501709,1405,1506,-39.53655095454546,215,0.0003,6,88,6.255270004272461,,
17.043478260869566,7.434337615966797,1467,1568,-38.72232925000001,223,0.0003,7,92,5.725678443908691,,
