train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/total_timesteps,time/episodes,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.0003,2.7024290561676025,8,318,419,4,6.6670098304748535,104.75,51,-487.13131699999997,,
0.0003,2.2400646209716797,9,759,860,8,8.966789245605469,107.5,94,-361.6782055,,
0.0003,3.591385841369629,9,1239,1340,12,12.819175720214844,111.66666666666667,136,-407.3116809166666,,
0.0003,5.711785316467285,9,1603,1704,16,11.894308090209961,106.5,174,-342.12356656249995,,
0.0003,4.22640323638916,9,1845,1946,20,12.713397979736328,97.3,198,-309.73464279999996,,
0.0003,13.991619110107422,9,2110,2211,24,13.750070571899414,92.125,221,-316.21297849999996,,
0.0003,7.301053524017334,9,2316,2417,28,14.557432174682617,86.32142857142857,249,-289.0095656428571,,
0.0003,11.925555229187012,9,2414,2515,32,14.14302921295166,78.59375,259,-256.54398565625,,
0.0003,6.902234077453613,9,2591,2692,36,13.199017524719238,74.77777777777777,279,-240.85016755555554,,
0.0003,11.706472396850586,9,2694,2795,40,11.81401538848877,69.875,290,-219.76638622499996,,
0.0003,7.1579484939575195,9,2875,2976,44,11.4117431640625,67.63636363636364,310,-209.1869839545454,,
0.0003,6.564239501953125,9,3008,3109,48,11.854240417480469,64.77083333333333,325,-194.8205037916667,,
0.0003,6.533897876739502,9,3144,3245,52,10.969782829284668,62.40384615384615,348,-180.68753942307697,,
0.0003,4.602850914001465,9,3255,3356,56,8.740145683288574,59.92857142857143,362,-168.77506935714285,,
0.0003,6.180886268615723,9,3326,3427,60,10.263853073120117,57.11666666666667,371,-158.83236938333332,,
0.0003,5.306848526000977,9,3415,3516,64,10.102750778198242,54.9375,381,-148.65878199999997,,
0.0003,5.783356189727783,9,3509,3610,68,9.153627395629883,53.088235294117645,392,-141.08503210294114,,
0.0003,7.035272598266602,9,3597,3698,72,8.691337585449219,51.361111111111114,402,-133.75421913888889,,
0.0003,6.553182601928711,9,3653,3754,76,8.391937255859375,49.39473684210526,414,-127.454476,,
0.0003,6.079712867736816,9,3773,3874,80,8.752581596374512,48.425,426,-121.41171406249998,,
0.0003,7.167315483093262,9,3893,3994,84,7.661553382873535,47.54761904761905,438,-118.39812958333331,,
0.0003,8.094137191772461,9,4012,4113,88,6.881224155426025,46.73863636363637,452,-115.14160917045454,,
