time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,192,2048,10,70.0,-318.1308686206896,,,,,,,,,,,,,
2,382,4096,10,72.69642857142857,-330.5969944642857,10,0.3,0.5496869087219238,-1.639702308177948,-0.0033026608866929762,0.0077604168560355905,0.0071367621421813965,0.00039983616,274.1448974609375,0.0046678837,677.2685943603516,,
3,568,6144,10,75.18518518518519,-344.08328013580245,20,0.3,0.5507290363311768,-1.6430214524269104,-0.004790542531409514,0.030520833795890212,9.09566879272461e-05,0.00039967232,276.3072509765625,0.007809631,595.7761138916015,,
4,756,8192,10,76.85,-353.94753118,30,0.3,0.5532464981079102,-1.6486428081989288,-0.0017139655652862018,0.00348958344256971,0.006471514701843262,0.00039950848,270.7883605957031,0.0059486926,570.203271484375,,
5,949,10240,10,71.91,-326.18779434,40,0.3,0.5556190609931946,-1.6583612740039826,-0.005943729385472096,0.053450521919876336,0.0016943812370300293,0.00039934464,253.8078155517578,0.011651542,528.7309661865235,,
6,1141,12288,10,68.82,-308.77194352999993,50,0.3,0.5415701270103455,-1.6064997434616088,-0.004091999560478144,0.005481770960614085,0.0029417872428894043,0.0003991808,226.4393768310547,0.0046567786,462.2868118286133,,
7,1341,14336,10,64.07,-283.51095702000003,60,0.3,0.5454791188240051,-1.6177948355674743,-0.002132636919632347,0.014570312772411853,0.007113456726074219,0.00039901696000000004,217.32305908203125,0.00534653,452.336848449707,,
8,1529,16384,10,64.9,-283.68234863,70,0.3,0.5467196106910706,-1.6291755557060241,-0.003612959616730116,0.020494792104000226,0.007159829139709473,0.00039885312,204.31195068359375,0.0043449416,421.2551666259766,,
9,1717,18432,10,68.21,-301.42826782,80,0.3,0.5501075983047485,-1.6349591434001922,-0.004117501521250233,0.03183593772700988,1.3709068298339844e-05,0.00039868928000000005,188.545654296875,0.0090165725,389.11803436279297,,
,,20000,,,,90,0.3,0.5541151762008667,-1.650111734867096,-0.00531789648581249,0.0330859383684583,0.00726693868637085,0.00039852544000000003,179.66590881347656,0.006098888,378.80657348632815,-226.16679843589662,53.6
10,1940,20480,10,72.64,-323.30226889,,,,,,,,,,,,,
11,2134,22528,10,74.44,-335.04496813,100,0.3,0.5405726432800293,-1.6022431313991548,-0.003732975675666239,0.021640625651343726,0.0013023614883422852,0.0003983616,177.99017333984375,0.0079490915,365.6531555175781,,
12,2333,24576,10,75.62,-343.7266574899999,110,0.3,0.5418663024902344,-1.610428375005722,-0.0023455688569811173,0.022734375472646208,0.002919495105743408,0.00039819776000000004,155.6167449951172,0.0034058772,332.33468170166014,,
13,2511,26624,10,75.22,-343.32409970000003,120,0.3,0.5450328588485718,-1.617064607143402,-0.006965848144027476,0.052942708926275374,-8.344650268554688e-07,0.00039803392,142.8043975830078,0.009852424,307.7252365112305,,
14,2710,28672,10,73.56,-334.90608891000005,130,0.3,0.5481942296028137,-1.6295857965946197,-0.00408714603079714,0.01438802112825215,2.9802322387695312e-06,0.00039787008,143.20379638671875,0.008389553,300.42708892822264,,
15,2899,30720,10,74.41,-335.73061972999994,140,0.3,0.5507314205169678,-1.6401891946792602,-0.00465056334687688,0.023958333814516664,0.007039785385131836,0.00039770624,128.8727264404297,0.009435877,271.37418060302736,,
16,3084,32768,10,71.5,-318.35287294,150,0.3,0.5362399816513062,-1.587965488433838,-0.004970102856168524,0.043268230473040604,0.004903554916381836,0.0003975424,124.41223907470703,0.01190375,263.5880271911621,,
17,3263,34816,10,71.45,-317.63980050000004,160,0.3,0.5381153225898743,-1.5950369596481324,-0.004668005284620413,0.03976562612806447,2.0265579223632812e-06,0.00039737856,117.61769104003906,0.010206183,242.96345138549805,,
18,3450,36864,10,71.23,-317.38794985,170,0.3,0.54096519947052,-1.6031539797782899,-0.0040117788212955755,0.022942708837217652,0.006291687488555908,0.00039721472000000006,109.96165466308594,0.0114997495,224.08376083374023,,
19,3631,38912,10,71.5,-316.4102099,180,0.3,0.5431229472160339,-1.6134820699691772,-0.005625610351562571,0.05067708468413912,5.245208740234375e-06,0.00039705088000000004,97.85195922851562,0.009314526,204.44401626586915,,
,,40000,,,,190,0.3,0.5498217344284058,-1.6272732973098756,-0.005094936780842474,0.03403645907528698,3.3974647521972656e-06,0.00039688704,103.06692504882812,0.007772001,215.88689498901368,-255.69290745817125,55.6
20,3851,40960,10,67.32,-296.91361028000006,,,,,,,,,,,,,
21,4045,43008,10,61.7,-268.06685093,200,0.3,0.5404214262962341,-1.5943021059036255,-0.005740284876083024,0.0763151067920262,2.0265579223632812e-06,0.00039672320000000004,91.35481262207031,0.0125465,189.29736557006837,,
22,4234,45056,10,65.02,-289.16784222,210,0.3,0.5434788465499878,-1.6138689398765564,-0.007035049432888574,0.05566406394354999,0.010518789291381836,0.00039655936,89.64527893066406,0.015425,183.6084426879883,,
23,4425,47104,10,69.36,-308.37830800000006,220,0.3,0.5451492071151733,-1.6213060736656189,-0.0029733617215242703,0.022122396162012593,5.960464477539062e-07,0.00039639552,82.16184997558594,0.0065697846,168.26504364013672,,
24,4617,49152,10,72.5,-325.32347027,230,0.3,0.5470624566078186,-1.627843016386032,-0.00871825409354643,0.09868489785585552,2.9802322387695312e-06,0.00039623168000000003,77.59364318847656,0.02383177,159.68429412841797,,
25,4807,51200,10,72.48,-327.72678598,240,0.3,0.5504376888275146,-1.637551486492157,-0.004354542447254061,0.035026042355457324,0.007292211055755615,0.00039606784,78.8710708618164,0.008548188,159.36824417114258,,
26,5000,53248,10,71.1,-323.7789252900001,250,0.3,0.5386584997177124,-1.5911548137664795,-0.006514087993491557,0.05518229326989967,0.0088348388671875,0.000395904,68.41592407226562,0.01750901,138.41782836914064,,
27,5187,55296,10,68.18,-304.09875164,260,0.3,0.5439632534980774,-1.610323977470398,-0.011894623147090933,0.0821484386920929,-0.0029391050338745117,0.00039574016,71.29106140136719,0.021152744,138.59514236450195,,
