train/n_updates,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/ent_coef,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,time/episodes,eval/mean_reward,eval/mean_ep_length
157,1.9084138870239258,-7.476518630981445,415,0.09560008347034454,6.518474578857422,8,51,0.0003,4,,
247,3.2333481311798096,-3.127558946609497,595,0.09312046319246292,7.618002414703369,8,67,0.0003,8,,
311,3.6355347633361816,-4.2505998611450195,723,0.09196663647890091,4.954526901245117,8,80,0.0003,12,,
362,3.2527241706848145,-4.258522987365723,825,0.09106800705194473,4.022181987762451,8,92,0.0003,16,,
390,3.44819974899292,-3.275897979736328,881,0.09060679376125336,7.108572959899902,8,98,0.0003,20,,
410,3.695535659790039,-2.6998519897460938,922,0.09031178057193756,5.641355514526367,8,105,0.0003,24,,
463,3.4413022994995117,-2.5590810775756836,1028,0.08959551155567169,5.192688941955566,8,122,0.0003,28,,
503,3.5860061645507812,-4.171623706817627,1108,0.0889848992228508,5.291935443878174,8,131,0.0003,32,,
581,3.961923837661743,-3.7914085388183594,1264,0.08773208409547806,4.276378631591797,8,149,0.0003,36,,
608,3.533212423324585,-4.015795707702637,1317,0.08726959675550461,5.302628517150879,8,156,0.0003,40,,
689,3.637230396270752,-2.1971206665039062,1480,0.0859760269522667,5.422065734863281,8,172,0.0003,44,,
719,3.5789754390716553,-3.4270262718200684,1539,0.08558334410190582,4.858078956604004,8,179,0.0003,48,,
760,4.255491733551025,-0.7954357266426086,1622,0.08510426431894302,5.964822769165039,8,194,0.0003,52,,
813,3.854072093963623,-1.8585174083709717,1727,0.08473654091358185,6.156126976013184,8,209,0.0003,56,,
905,4.256540775299072,-2.6113028526306152,1911,0.0840381607413292,5.026705265045166,8,228,0.0003,60,,
981,4.058566570281982,-1.8756990432739258,2063,0.08360707014799118,5.595329284667969,8,244,0.0003,64,,
1022,4.208950042724609,-1.7516237497329712,2145,0.08332063257694244,4.461658477783203,8,254,0.0003,68,,
1096,4.566761493682861,-1.057437539100647,2293,0.08281570672988892,3.8068768978118896,8,269,0.0003,72,,
1166,4.543766975402832,-0.43299436569213867,2434,0.08220107108354568,5.233531951904297,8,288,0.0003,76,,
1267,5.272818565368652,-1.2760895490646362,2636,0.08146052062511444,4.247371196746826,8,306,0.0003,80,,
1317,4.290241241455078,-2.187880039215088,2736,0.08098512887954712,3.1072793006896973,8,316,0.0003,84,,
1354,5.246089935302734,-0.7170729637145996,2810,0.08050890266895294,4.818369388580322,8,324,0.0003,88,,
1411,5.223093032836914,-0.6107791662216187,2924,0.08018072694540024,3.3718714714050293,8,335,0.0003,92,,
1475,4.727941513061523,-2.0540831089019775,3051,0.07957648485898972,3.0673961639404297,8,347,0.0003,96,,
1510,5.079675674438477,-0.7828633785247803,3122,0.07929752767086029,4.952662467956543,8,360,0.0003,100,,
1560,5.428075313568115,-2.6861367225646973,3222,0.07888014614582062,4.106658935546875,8,371,0.0003,104,,
1605,5.661415100097656,-1.5695874691009521,3311,0.07836470007896423,4.339089870452881,8,381,0.0003,108,,
1641,5.396477222442627,-0.48626473546028137,3384,0.07791521400213242,3.725513458251953,8,389,0.0003,112,,
