train/learning_rate,time/fps,train/ent_coef,train/actor_loss,time/time_elapsed,time/episodes,time/total_timesteps,train/n_updates,train/ent_coef_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0.0001,11,0.09873601794242859,4.854922294616699,32,4,357,128,-7.607142925262451,3.423557758331299,,
0.0001,11,0.09756823629140854,4.450339317321777,50,8,598,248,-7.66499662399292,2.6325764656066895,,
0.0001,12,0.09619508683681488,4.622464179992676,71,12,884,391,-7.638205528259277,2.059816360473633,,
0.0001,12,0.09551215916872025,4.629149913787842,83,16,1028,463,-7.693392753601074,3.044997215270996,,
0.0001,12,0.09436379373073578,5.024435043334961,101,20,1276,587,-7.7103376388549805,4.683011054992676,,
0.0001,13,0.09197904914617538,6.225208282470703,136,24,1800,849,-7.637078285217285,1.8302688598632812,,
0.0001,13,0.08974430710077286,7.5198774337768555,177,28,2307,1103,-7.387345314025879,2.1555278301239014,,
0.0001,13,0.08780132979154587,8.743642807006836,209,32,2764,1331,-7.4637274742126465,3.04384183883667,,
0.0001,13,0.0860987976193428,9.677226066589355,237,36,3174,1536,-7.168813228607178,3.143993377685547,,
0.0001,13,0.0851573795080185,10.634056091308594,257,40,3412,1655,-7.057971000671387,1.0475114583969116,,
0.0001,13,0.08383344113826752,11.929624557495117,281,44,3758,1828,-6.46071720123291,2.584665536880493,,
0.0001,13,0.08327386528253555,11.456758499145508,292,48,3906,1902,-7.104747772216797,5.981712341308594,,
0.0001,13,0.08274955302476883,11.917428970336914,309,52,4049,1974,-6.812587261199951,3.405392646789551,,
0.0001,13,0.08222181349992752,12.821065902709961,321,56,4197,2048,-6.1890459060668945,3.00795578956604,,
0.0001,12,0.08208012580871582,12.237137794494629,326,60,4239,2069,-6.020826816558838,7.260005950927734,,
0.0001,13,0.08058483898639679,14.370318412780762,359,64,4704,2301,-5.497272968292236,5.460060119628906,,
0.0001,13,0.08011419326066971,14.344221115112305,372,68,4855,2377,-5.5463762283325195,4.438045024871826,,
0.0001,13,0.07936448603868484,15.086809158325195,390,72,5099,2499,-5.501655578613281,6.4211249351501465,,
0.0001,12,0.07894082367420197,15.516921997070312,407,76,5243,2571,-5.1733903884887695,5.386170864105225,,
0.0001,12,0.07850951701402664,15.910125732421875,418,80,5389,2644,-5.050460338592529,4.714694976806641,,
0.0001,12,0.07822300493717194,15.686158180236816,426,84,5489,2694,-4.873080253601074,9.04338264465332,,
0.0001,12,0.07753176242113113,16.20026969909668,444,88,5738,2818,-4.124880790710449,11.922811508178711,,
0.0001,13,0.07609403133392334,17.357158660888672,481,92,6277,3088,-3.729701280593872,10.647745132446289,,
0.0001,13,0.07453563064336777,19.002208709716797,524,96,6830,3364,-3.7102866172790527,10.215209007263184,,
0.0001,12,0.07308807224035263,20.128576278686523,563,100,7319,3609,-4.145965099334717,9.385273933410645,,
0.0001,13,0.07177518308162689,20.981403350830078,595,104,7753,3826,-3.972952365875244,20.211715698242188,,
0.0001,13,0.07055682688951492,22.221181869506836,624,108,8174,4036,-4.217305660247803,4.215179443359375,,
0.0001,13,0.06951683759689331,22.65707015991211,648,112,8519,4209,-4.368669509887695,7.0439863204956055,,
0.0001,13,0.06872245669364929,22.86207389831543,666,116,8760,4329,-5.38932991027832,9.06753921508789,,
0.0001,13,0.06762759387493134,23.45711898803711,692,120,9108,4503,-3.845614433288574,10.444576263427734,,
0.0001,13,0.06717680394649506,23.825403213500977,705,124,9257,4578,-5.026675224304199,8.306158065795898,,
0.0001,13,0.06614978611469269,24.26054573059082,733,128,9595,4747,-4.387879371643066,13.131498336791992,,
0.0001,13,0.0654631108045578,24.973873138427734,750,132,9821,4860,-5.871805191040039,13.044921875,,
0.0001,13,0.06462068855762482,24.472715377807617,772,136,10112,5005,-2.9783108234405518,9.575994491577148,,
0.0001,13,0.06367243081331253,26.417362213134766,801,140,10464,5181,-3.462167739868164,10.866938591003418,,
0.0001,13,0.06258269399404526,26.998157501220703,831,144,10883,5391,-4.409172058105469,7.125732421875,,
0.0001,13,0.0616120882332325,27.30899429321289,860,148,11283,5591,-3.9211764335632324,20.260833740234375,,
0.0001,13,0.06133110448718071,26.94036102294922,874,152,11385,5642,-3.801356315612793,7.676243782043457,,
0.0001,13,0.06022394448518753,27.7607479095459,911,156,11861,5880,-3.8557581901550293,16.074594497680664,,
0.0001,13,0.05938245356082916,28.05742073059082,935,160,12177,6038,-3.962423801422119,16.107372283935547,,
0.0001,13,0.05856507644057274,28.49416732788086,956,164,12471,6185,-3.0815482139587402,10.43054485321045,,
0.0001,13,0.05801407992839813,27.757028579711914,974,168,12710,6304,-2.7469067573547363,16.303667068481445,,
0.0001,13,0.057507798075675964,29.18564796447754,991,172,12942,6420,-3.934182643890381,10.126144409179688,,
0.0001,12,0.056954093277454376,29.235301971435547,1012,176,13154,6526,-1.9171305894851685,18.019817352294922,,
0.0001,12,0.05638495460152626,28.855459213256836,1030,180,13372,6635,-4.413361549377441,11.459978103637695,,
0.0001,13,0.05484801158308983,30.274700164794922,1076,184,14008,6953,-3.981565237045288,27.938980102539062,,
0.0001,13,0.054307401180267334,30.309614181518555,1094,188,14248,7073,-4.619932174682617,11.001229286193848,,
0.0001,12,0.05406446009874344,30.897701263427734,1106,192,14358,7128,-3.185640811920166,14.967681884765625,,
0.0001,12,0.05364219471812248,29.857391357421875,1124,196,14568,7233,-1.7610108852386475,10.020282745361328,,
0.0001,12,0.053483929485082626,29.598934173583984,1137,200,14649,7274,-3.9298601150512695,24.014598846435547,,
0.0001,12,0.053347740322351456,30.744287490844727,1145,204,14735,7317,-1.792198896408081,33.22611999511719,,
0.0001,12,0.053280457854270935,30.890344619750977,1151,208,14797,7348,-2.3623390197753906,10.986177444458008,,
0.0001,12,0.053158536553382874,30.529823303222656,1160,212,14907,7403,-1.9688704013824463,12.882935523986816,,
0.0001,12,0.05300984904170036,31.152263641357422,1172,216,15054,7476,-1.2158188819885254,25.642202377319336,,
0.0001,12,0.052901774644851685,30.353729248046875,1181,220,15169,7534,-0.7940741181373596,6.1990556716918945,,
0.0001,12,0.05286085978150368,30.413818359375,1189,224,15265,7582,0.04667408764362335,25.295093536376953,,
0.0001,12,0.05283402279019356,30.97089385986328,1203,228,15361,7630,-0.1499244123697281,17.118839263916016,,
0.0001,12,0.05281413719058037,30.629657745361328,1212,232,15444,7671,-0.13355588912963867,18.6440372467041,,
0.0001,12,0.05280629172921181,30.726364135742188,1218,236,15504,7701,1.0333930253982544,13.976469039916992,,
0.0001,12,0.05285443365573883,30.486251831054688,1230,240,15620,7759,-0.033259376883506775,28.046539306640625,,
0.0001,12,0.05289647728204727,29.88883399963379,1238,244,15705,7802,0.7846357822418213,8.009780883789062,,
0.0001,12,0.05299155414104462,29.945350646972656,1246,248,15782,7840,0.4147307574748993,16.867521286010742,,
0.0001,12,0.05304662883281708,29.5699405670166,1260,252,15880,7889,-0.4192134737968445,15.152762413024902,,
0.0001,12,0.053067564964294434,29.489898681640625,1265,256,15931,7915,1.0875011682510376,17.272445678710938,,
0.0001,12,0.05313650146126747,29.97494888305664,1272,260,16019,7959,0.3322042226791382,25.486051559448242,,
0.0001,12,0.05319002643227577,30.13201904296875,1279,264,16088,7993,2.207986354827881,14.962888717651367,,
0.0001,12,0.05328936502337456,30.24151611328125,1285,268,16150,8024,2.179805040359497,7.42755126953125,,
0.0001,12,0.05342652648687363,29.22930145263672,1293,272,16231,8065,1.691066861152649,28.06844711303711,,
0.0001,12,0.05360755696892738,30.005674362182617,1306,276,16332,8115,2.865189552307129,11.03713607788086,,
0.0001,12,0.05373808369040489,28.944793701171875,1312,280,16383,8141,1.750988245010376,25.50374984741211,,
0.0001,12,0.05391106754541397,28.923908233642578,1320,284,16468,8183,1.9908010959625244,16.405309677124023,,
0.0001,12,0.05407455936074257,28.557723999023438,1326,288,16543,8221,2.4161365032196045,26.811325073242188,,
0.0001,12,0.05429248884320259,29.088422775268555,1334,292,16631,8265,1.4650459289550781,11.434547424316406,,
0.0001,12,0.05445719510316849,29.408798217773438,1342,296,16710,8304,1.8217524290084839,17.99569320678711,,
0.0001,12,0.05470366030931473,27.940671920776367,1355,300,16802,8350,2.2757961750030518,18.922409057617188,,
0.0001,12,0.05503783002495766,28.277851104736328,1365,304,16915,8407,3.9974255561828613,19.012842178344727,,
0.0001,12,0.055226363241672516,28.608530044555664,1371,308,16976,8437,2.5724992752075195,11.236104965209961,,
0.0001,12,0.055471956729888916,28.29401397705078,1379,312,17060,8479,2.956294536590576,25.29245376586914,,
0.0001,12,0.05574494227766991,27.642921447753906,1386,316,17146,8522,3.9701266288757324,23.699237823486328,,
0.0001,12,0.05604136362671852,29.38210678100586,1394,320,17229,8564,2.5065484046936035,22.51025390625,,
0.0001,12,0.05631604790687561,28.67104721069336,1401,324,17316,8607,3.538433074951172,20.226749420166016,,
0.0001,12,0.056580718606710434,28.410566329956055,1413,328,17393,8646,3.8458008766174316,9.372050285339355,,
0.0001,12,0.056754399091005325,28.127323150634766,1419,332,17442,8670,2.8589253425598145,20.988636016845703,,
0.0001,12,0.05695284157991409,27.900224685668945,1426,336,17502,8700,3.071735382080078,15.589860916137695,,
0.0001,12,0.05722625181078911,26.075157165527344,1434,340,17576,8737,3.4085934162139893,19.262252807617188,,
0.0001,12,0.05753711983561516,26.59379768371582,1443,344,17666,8782,3.6088736057281494,21.78910255432129,,
0.0001,12,0.057915352284908295,25.91574478149414,1453,348,17770,8834,3.9704513549804688,24.73577880859375,,
0.0001,12,0.05844425782561302,26.957056045532227,1471,352,17923,8911,3.7576849460601807,24.384309768676758,,
0.0001,12,0.05904737114906311,27.049762725830078,1486,356,18107,9003,1.8567705154418945,36.88452911376953,,
0.0001,12,0.059248533099889755,25.942138671875,1492,360,18166,9032,1.5972095727920532,17.316524505615234,,
0.0001,12,0.05967193841934204,26.079166412353516,1503,364,18299,9099,3.4302797317504883,20.970478057861328,,
0.0001,12,0.06002044305205345,25.36626434326172,1512,368,18402,9150,3.71393084526062,20.681884765625,,
0.0001,12,0.06039802357554436,24.567373275756836,1521,372,18512,9205,4.045607089996338,22.832355499267578,,
0.0001,12,0.06061996892094612,25.288188934326172,1532,376,18572,9235,4.215851306915283,20.827180862426758,,
0.0001,12,0.06096033751964569,24.864822387695312,1540,380,18663,9281,3.762108325958252,25.66901397705078,,
0.0001,12,0.06126904860138893,24.544010162353516,1549,384,18756,9327,2.511469841003418,16.407873153686523,,
0.0001,12,0.06162416562438011,23.98899269104004,1558,388,18860,9379,2.1761820316314697,18.782052993774414,,
0.0001,12,0.062105000019073486,24.842777252197266,1571,392,19006,9452,3.9557642936706543,22.669937133789062,,
0.0001,12,0.06251861155033112,23.889005661010742,1582,396,19133,9516,2.5792975425720215,20.985837936401367,,
0.0001,12,0.06279262900352478,23.368587493896484,1594,400,19223,9561,3.164498805999756,18.508594512939453,,
0.0001,12,0.06306172162294388,23.265291213989258,1602,404,19302,9600,4.093313694000244,19.23401641845703,,
0.0001,12,0.06337402015924454,23.238073348999023,1611,408,19396,9647,2.558913230895996,14.850276947021484,,
0.0001,12,0.06377691775560379,22.832904815673828,1621,412,19519,9709,3.0707874298095703,11.594104766845703,,
0.0001,12,0.06402091681957245,23.118816375732422,1629,416,19593,9746,3.4440019130706787,16.66602325439453,,
0.0001,12,0.06428871303796768,24.258750915527344,1636,420,19669,9784,3.069512367248535,20.8673095703125,,
0.0001,12,0.06453566998243332,23.07010269165039,1643,424,19743,9821,3.186018943786621,22.037870407104492,,
0.0001,11,0.06488406658172607,23.327651977539062,1657,428,19841,9870,3.608903408050537,22.545289993286133,,
0.0001,11,0.06531763821840286,23.142864227294922,1668,432,19969,9934,2.8103978633880615,15.321081161499023,,
0.0001,11,0.06571036577224731,23.08718490600586,1680,436,20089,9994,2.619264602661133,19.9376163482666,,
0.0001,11,0.06587192416191101,22.375150680541992,1686,440,20139,10019,2.9473814964294434,22.270950317382812,,
0.0001,11,0.06608608365058899,22.984230041503906,1693,444,20209,10054,2.9796059131622314,19.274648666381836,,
0.0001,11,0.06630831956863403,22.174924850463867,1699,448,20274,10086,3.8014121055603027,19.18406867980957,,
0.0001,11,0.06658538430929184,22.337276458740234,1712,452,20358,10128,2.7311058044433594,21.56194305419922,,
0.0001,11,0.0668288916349411,23.269840240478516,1720,456,20433,10166,2.6300048828125,16.1104793548584,,
0.0001,11,0.06704364717006683,20.596105575561523,1726,460,20506,10202,3.1464128494262695,23.706584930419922,,
0.0001,11,0.06735017895698547,22.696508407592773,1736,464,20601,10250,3.0886926651000977,15.722673416137695,,
0.0001,11,0.0675746500492096,20.66344451904297,1743,468,20674,10286,2.643209457397461,23.26028823852539,,
0.0001,11,0.06783396750688553,20.582353591918945,1751,472,20764,10331,3.4202470779418945,18.24982261657715,,
0.0001,11,0.06817110627889633,20.536745071411133,1765,476,20862,10380,2.9362175464630127,28.228208541870117,,
0.0001,11,0.06850118935108185,21.093734741210938,1774,480,20965,10432,2.7081217765808105,26.875133514404297,,
0.0001,11,0.06869686394929886,21.10472869873047,1781,484,21028,10463,1.746063232421875,17.854461669921875,,
0.0001,11,0.06901340931653976,20.63286590576172,1792,488,21129,10514,1.8712012767791748,20.010101318359375,,
0.0001,11,0.06938789039850235,19.67898178100586,1802,492,21248,10573,3.241281509399414,22.781965255737305,,
0.0001,11,0.06976816803216934,18.417638778686523,1813,496,21380,10639,3.218421459197998,22.438390731811523,,
0.0001,11,0.07006912678480148,20.082605361938477,1828,500,21489,10694,2.5779218673706055,21.0683650970459,,
0.0001,11,0.07029081135988235,20.08277130126953,1836,504,21563,10731,1.417047381401062,24.622774124145508,,
0.0001,11,0.07051122188568115,18.44717025756836,1843,508,21639,10769,2.144031047821045,22.236343383789062,,
0.0001,11,0.07075909525156021,19.811222076416016,1850,512,21725,10812,2.2559571266174316,36.904720306396484,,
0.0001,11,0.07108210027217865,20.6895809173584,1860,516,21839,10869,2.9255309104919434,24.655710220336914,,
0.0001,11,0.07145678997039795,18.562583923339844,1871,520,21968,10933,1.6239677667617798,29.27330780029297,,
0.0001,11,0.0715894103050232,18.467592239379883,1876,524,22017,10958,2.3140838146209717,18.932376861572266,,
0.0001,11,0.07178295403718948,18.91948699951172,1888,528,22086,10992,1.311403512954712,25.246822357177734,,
0.0001,11,0.07196133583784103,18.278915405273438,1895,532,22152,11025,2.0850181579589844,26.104660034179688,,
0.0001,11,0.07214244455099106,18.268848419189453,1902,536,22218,11058,2.1438889503479004,31.41595458984375,,
0.0001,11,0.07232725620269775,18.413433074951172,1909,540,22287,11093,1.5775521993637085,27.207223892211914,,
0.0001,11,0.07254167646169662,17.56706428527832,1918,544,22379,11139,2.018036365509033,30.671831130981445,,
0.0001,11,0.07267798483371735,18.797346115112305,1924,548,22432,11165,1.855137825012207,22.222694396972656,,
0.0001,11,0.07289139926433563,17.478260040283203,1938,552,22510,11204,2.1232059001922607,17.463603973388672,,
0.0001,11,0.07312293350696564,16.6779727935791,1947,556,22602,11250,1.4259161949157715,20.813465118408203,,
0.0001,11,0.07338613271713257,16.68323516845703,1956,560,22712,11305,1.4644206762313843,22.86240577697754,,
0.0001,11,0.0735795721411705,18.42488670349121,1964,564,22789,11344,1.856719970703125,23.141056060791016,,
0.0001,11,0.07380624115467072,17.160079956054688,1973,568,22879,11389,2.165069580078125,19.792980194091797,,
0.0001,11,0.07405611127614975,16.14497947692871,1982,572,22984,11441,2.3351898193359375,20.912548065185547,,
0.0001,11,0.07435405999422073,16.16259002685547,1997,576,23100,11499,1.458878517150879,19.203998565673828,,
0.0001,11,0.07453883439302444,15.600553512573242,2004,580,23169,11534,1.2264950275421143,18.958690643310547,,
