train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
0.00035,1,114,37.25,149,-156.1441515,4,6.839949607849121,48,5.756847381591797,,
0.00035,1,126,25.375,203,-90.610305125,8,6.273297309875488,102,3.4853129386901855,,
0.00035,1,139,22.25,267,-68.76394266666667,12,6.012052059173584,166,3.128782033920288,,
0.00035,2,150,19.75,316,-58.84029525,16,5.779690265655518,215,3.0389351844787598,,
0.00035,2,166,18.5,370,-50.9601459,20,6.836966514587402,269,3.228114604949951,,
0.00035,2,177,17.625,423,-48.72867670833333,24,6.347123622894287,322,3.283994436264038,,
0.00035,2,187,16.857142857142858,472,-45.74085442857143,28,7.214748382568359,371,4.156559944152832,,
0.00035,2,198,16.25,520,-43.59390325,32,6.627593040466309,419,3.898566722869873,,
0.00035,2,211,16.305555555555557,587,-42.18704247222222,36,6.372725009918213,486,4.8500237464904785,,
0.00035,2,222,16.025,641,-41.881404925,40,5.450474739074707,540,4.746367454528809,,
0.00035,2,237,15.613636363636363,687,-40.276308954545456,44,5.850839614868164,586,5.264286994934082,,
0.00035,2,249,15.520833333333334,745,-39.65989422916667,48,5.346734046936035,644,4.619306564331055,,
0.00035,3,257,15.173076923076923,789,-38.79386107692308,52,4.743558883666992,688,5.666962146759033,,
0.00035,3,270,15.214285714285714,852,-39.22270375,56,4.690350532531738,751,5.094351768493652,,
0.00035,3,278,14.883333333333333,893,-38.167608816666664,60,5.541290283203125,792,5.9000244140625,,
0.00035,3,287,14.671875,939,-37.795296125,64,4.701241970062256,838,6.783766269683838,,
0.00035,3,302,14.558823529411764,990,-37.13535242647058,68,5.260852336883545,889,6.791828155517578,,
0.00035,3,311,14.430555555555555,1039,-36.77370202777778,72,5.696086883544922,938,6.996302604675293,,
0.00035,3,321,14.289473684210526,1086,-36.37402257894737,76,4.47241735458374,985,6.965237617492676,,
0.00035,3,331,14.175,1134,-36.184783175,80,4.912208080291748,1033,6.978620529174805,,
0.00035,3,341,14.095238095238095,1184,-35.92416566666667,84,5.402770519256592,1083,7.458797454833984,,
0.00035,3,351,14.034090909090908,1235,-35.661502920454545,88,6.554971694946289,1134,7.527867317199707,,
0.00035,3,365,13.923913043478262,1281,-35.36201002173913,92,5.600183486938477,1180,8.336931228637695,,
0.00035,3,376,13.927083333333334,1337,-35.32928997916667,96,5.635250568389893,1236,8.745061874389648,,
