time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
216,2048,1,9,76.23076923076923,-704.1207836153845,,,,,,,,,,,,,
373,4096,2,10,69.27586206896552,-619.8720036034482,0.00039983616,0.06026041829027236,3418.357556152344,10,0.22431272268295288,-0.00029599666595458984,0.15669872164726256,0.007465126,1552.8173828125,-0.009329171441495431,0.3,,
524,6144,3,11,69.81818181818181,-620.3151834886364,0.00039967232,0.04354166714474559,2923.72431640625,20,0.2249455451965332,0.0014877915382385254,0.14827095866203308,0.013053864,1431.4359130859375,-0.004153479080996369,0.3,,
695,8192,4,11,67.67,-594.6545065399999,0.00039950848,0.045937501674052326,2853.2393432617187,30,0.22641348838806152,0.0015871524810791016,0.14032859206199647,0.013316462,1378.1466064453125,-0.005030070602078851,0.3,,
858,10240,5,11,70.53,-624.9707082199999,0.00039934464,0.039700521682971154,2785.4091186523438,40,0.22775167226791382,0.00031751394271850586,0.12687286734580994,0.013325359,1386.4322509765625,-0.005012317722503212,0.3,,
1010,12288,6,12,71.23,-633.27116302,0.0003991808,0.013359375458094291,2869.630480957031,50,0.2288648784160614,1.3113021850585938e-06,0.11652672290802002,0.004137124,1412.0872802734375,-0.0016807827567753898,0.3,,
1193,14336,7,12,69.8,-614.02348794,0.00039901696000000004,0.008580729278037325,2586.2299072265623,60,0.2301737368106842,0.00032770633697509766,0.10600141286849976,0.004922769,1269.5863037109375,-0.00072500875496182,0.3,,
1361,16384,8,12,68.11,-593.76759396,0.00039885312,0.004166666732635349,2473.248254394531,70,0.23098480701446533,5.781650543212891e-06,0.09616103172302246,0.0037362855,1248.8863525390625,-0.002519064052030462,0.3,,
1529,18432,9,12,66.68,-584.58314916,0.00039868928000000005,0.010716146230697632,2490.2040283203123,80,0.2313714325428009,0.00013756752014160156,0.09098690152168273,0.0057695485,1234.3204345703125,-0.0022714673899463023,0.3,,
,20000,,,,,0.00039852544000000003,0.02360677148681134,2504.1946044921874,90,0.23203328251838684,0.0004279017448425293,0.08722640872001648,0.0073608425,1227.5042724609375,-0.0045944019156738845,0.3,-863.0230079265311,92.2
1758,20480,10,11,65.9,-575.3408078699999,,,,,,,,,,,,,
1913,22528,11,11,69.98,-614.0389325399999,0.0003983616,0.005742187675787136,2211.2127197265627,100,0.23320543766021729,0.0002974867820739746,0.0792669951915741,0.0055590086,1083.9359130859375,-0.0007325783092527516,0.3,,
2071,24576,12,11,71.72,-623.3626828499999,0.00039819776000000004,0.06855468879512046,2356.712548828125,110,0.2345561534166336,0.0001888871192932129,0.06840735673904419,0.012228761,1138.8775634765625,-0.00602114356937804,0.3,,
2247,26624,13,11,74.71,-664.4346071599998,0.00039803392,0.10212239809334278,2323.151965332031,120,0.23588301241397858,0.000414431095123291,0.05672667622566223,0.013573008,1149.4464111328125,-0.007262038440676477,0.3,,
2409,28672,14,11,76.08,-681.71252719,0.00039787008,0.016627604444511234,2264.959765625,130,0.23714745044708252,2.205371856689453e-06,0.04584734439849854,0.0043725604,1103.296875,-0.002708173559221905,0.3,,
2566,30720,15,11,71.32,-631.82176076,0.00039770624,0.03227864662185311,2170.8026733398438,140,0.23865866661071777,0.0005661249160766602,0.03422783017158508,0.009519199,1065.1693115234375,-0.004614660805091297,0.3,,
2731,32768,16,11,66.23,-583.6006098600001,0.0003975424,0.04963541829492897,2014.6728454589843,150,0.23987847566604614,0.0021678805351257324,0.02227817177772522,0.014568694,1003.6115112304688,-0.006749569768435326,0.3,,
2909,34816,17,11,67.05,-594.8157396400001,0.00039737856,0.04584635587525554,1973.7570434570312,160,0.24080875515937805,0.002307415008544922,0.013516288995742799,0.00928778,999.9491577148438,-0.004635926262708523,0.3,,
3061,36864,18,12,68.87,-616.57043524,0.00039721472000000006,0.03372395928017795,2032.5917175292968,170,0.24131780862808228,8.344650268554688e-07,0.007134795188903809,0.011347087,965.041748046875,-0.0041150343546178195,0.3,,
3209,38912,19,12,74.58,-673.34803577,0.00039705088000000004,0.04747395993908867,2009.1246704101563,180,0.24199125170707703,8.940696716308594e-07,0.0028845548629760744,0.016526228,1003.6914672851562,-0.005068814136611799,0.3,,
,40000,,,,,0.00039688704,0.020130208804039283,1957.4420227050782,190,0.24260662496089935,0.0009495019912719727,-0.0029059290885925294,0.012488903,945.5011596679688,-0.0033421323206496824,0.3,-457.9039449397475,51.8
3400,40960,20,12,75.72,-687.6349455200001,,,,,,,,,,,,,
3566,43008,21,12,70.83,-637.8428391099999,0.00039672320000000004,0.018242187885334715,1737.3666076660156,200,0.2429801970720291,0.0035161375999450684,-0.0066766560077667235,0.008268835,876.9835205078125,-0.0030722357343620386,0.3,,
3736,45056,22,12,67.58,-607.0448935000001,0.00039655936,0.037382813930162226,1757.9832885742187,210,0.2434169054031372,8.344650268554688e-07,-0.009956318140029907,0.009215651,861.8450927734375,-0.004195885715744296,0.3,,
3878,47104,23,12,68.54,-608.3606800800001,0.00039639552,0.009153645884362049,1740.638934326172,220,0.24454250931739807,0.0017703771591186523,-0.01571047306060791,0.002734168,868.6373901367188,-0.001171039162145604,0.3,,
4029,49152,24,12,68.84,-609.52400527,0.00039623168000000003,0.0327864590100944,1627.3231994628907,230,0.24520710110664368,1.3709068298339844e-06,-0.024459481239318848,0.007791441,799.7448120117188,-0.004592132414691008,0.3,,
4176,51200,25,12,71.01,-636.5362778,0.00039606784,0.03710937581490725,1631.1692199707031,240,0.246143639087677,0.005738019943237305,-0.0297821581363678,0.005299488,793.72021484375,-0.0043737012683415346,0.3,,
4323,53248,26,12,70.87,-640.902149,0.000395904,0.0353385424852604,1599.6832458496094,250,0.24765321612358093,0.0050553083419799805,-0.03992391228675842,0.0053806533,770.5325317382812,-0.005472112892311998,0.3,,
4481,55296,27,12,78.21,-718.0931396599999,0.00039574016,0.01641927128075622,1571.5958251953125,260,0.24901583790779114,8.940696716308594e-07,-0.051642173528671266,0.0053254366,757.1300048828125,-0.00186975127111495,0.3,,
4651,57344,28,12,76.91,-698.99108572,0.00039557632,0.010703125377767719,1525.7293762207032,270,0.24993526935577393,0.007182061672210693,-0.06109650135040283,0.0063963784,744.1925048828125,-0.0010671906270726338,0.3,,
4812,59392,29,12,69.89,-626.1520683,0.00039541248,0.027539062779396772,1410.8117248535157,280,0.2504812777042389,0.006834566593170166,-0.0667840600013733,0.00729531,686.1224365234375,-0.004340565304155675,0.3,,
,60000,,,,,0.00039524864000000005,0.03338541788980365,1345.6153930664063,290,0.25116798281669617,0.002820312976837158,-0.07112125754356384,0.010409831,665.00537109375,-0.003793075363064391,0.3,-450.6084827486426,52.2
5022,61440,30,12,73.09,-653.30536954,,,,,,,,,,,,,
5216,63488,31,12,71.17,-634.93813912,0.00039508480000000003,0.03430989648331888,1424.4976623535156,300,0.2522784173488617,8.344650268554688e-07,-0.07829068899154663,0.012665373,708.927978515625,-0.0025178572081497206,0.3,,
5391,65536,32,12,75.05,-676.2476266599999,0.00039492096,0.05691406378755346,1312.3326599121094,310,0.2535223662853241,1.0728836059570312e-06,-0.0876852035522461,0.009952458,647.591552734375,-0.005396304809110042,0.3,,
5564,67584,33,12,72.51,-649.63862536,0.00039475712000000004,0.04825520953163505,1265.495361328125,320,0.25395911931991577,1.0132789611816406e-06,-0.0952092707157135,0.016924482,617.8826904296875,-0.004012502627374559,0.3,,
5722,69632,34,12,71.0,-634.4118993400001,0.00039459328,0.04183593841735274,1202.5211364746094,330,0.2555428147315979,6.556510925292969e-07,-0.10088067054748535,0.012642037,592.6417236328125,-0.002007970773556736,0.3,,
